2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.071, 0.628, 9.176, -2.901, -1.908, -0.382
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.108, 0.606, 9.142, -2.733, -1.985, -0.412
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.081, 0.644, 9.131, -2.855, -1.939, -0.382
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.065, 0.632, 9.153, -2.733, -1.969, -0.321
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.034, 0.620, 9.153, -2.687, -1.939, -0.443
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.079, 0.617, 9.160, -2.794, -1.817, -0.366
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.086, 0.622, 9.183, -2.809, -1.939, -0.397
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.067, 0.609, 9.165, -2.763, -1.939, -0.366
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.115, 0.650, 9.160, -3.008, -1.924, -0.382
2024-05-31-13:19:58, 4732.179, 2135.552, 2.6, 0.085, 0.603, 9.103, -2.840, -2.000, -0.489
2024-05-31-13:19:58, 4732.179, 2135.552, 9.3, 0.042, 0.607, 9.139, -2.718, -1.954, -0.504
2024-05-31-13:19:58, 4732.179, 2135.552, 9.3, 0.079, 0.640, 9.120, -2.748, -1.969, -0.412
2024-05-31-13:19:59, 4732.179, 2135.552, 9.3, 0.071, 0.625, 8.914, -2.794, -1.939, -0.443
2024-05-31-13:19:59, 4732.179, 2135.552, 9.3, 0.056, 0.643, 9.146, -2.840, -1.969, -0.244
2024-05-31-13:19:59, 4732.179, 2135.552, 9.3, 0.071, 0.576, 9.165, -2.779, -1.954, -0.382
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.063, 0.596, 9.173, -2.794, -2.000, -0.290
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.062, 0.589, 9.176, -2.824, -1.832, -0.382
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.049, 0.691, 9.197, -2.763, -1.863, -0.397
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.077, 0.667, 9.133, -2.718, -1.969, -0.321
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.048, 0.614, 9.160, -2.916, -2.000, -0.443
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.073, 0.613, 9.098, -2.809, -2.000, -0.366
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.056, 0.625, 9.136, -2.794, -1.908, -0.290
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.089, 0.636, 9.175, -2.779, -1.954, -0.397
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.061, 0.916, 9.179, -2.885, -1.985, -0.382
2024-05-31-13:19:59, 4732.179, 2135.552, 3.3, 0.062, 0.654, 9.196, -2.626, -1.908, -0.473
2024-05-31-13:19:59, 4732.178, 2135.552, 9.3, 0.043, 0.642, 9.133, -2.809, -1.954, -0.412
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.092, 0.630, 9.164, -2.809, -1.847, -0.427
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.061, 0.630, 9.134, -2.824, -1.954, -0.366
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.097, 0.618, 9.145, -2.840, -1.969, -0.321
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.072, 0.652, 9.197, -2.718, -2.015, -0.427
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.092, 0.627, 9.128, -2.718, -1.954, -0.550
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.053, 0.912, 9.172, -2.962, -1.893, -0.397
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.093, 0.601, 9.097, -2.763, -1.985, -0.458
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.055, 0.554, 9.167, -2.824, -1.924, -0.366
2024-05-31-13:20:00, 4732.178, 2135.552, 9.3, 0.065, 0.649, 9.123, -2.733, -1.863, -0.366
2024-05-31-13:20:00, 4732.178, 2135.552, 2.9, 0.030, 0.588, 9.085, -3.130, -2.275, -0.489
2024-05-31-13:20:00, 4732.178, 2135.552, 2.9, 0.081, 0.611, 9.182, -2.718, -1.939, -0.366
2024-05-31-13:20:00, 4732.178, 2135.552, 2.9, 0.059, 0.637, 9.045, -2.824, -1.908, -0.397
2024-05-31-13:20:00, 4732.178, 2135.552, 2.9, 0.030, 0.910, 9.136, -2.748, -2.076, -0.443
2024-05-31-13:20:00, 4732.178, 2135.552, 2.9, 0.069, 0.650, 9.110, -2.809, -1.908, -0.366
2024-05-31-13:20:00, 4732.179, 2135.552, 9.3, 0.060, 0.634, 9.088, -2.779, -1.863, -0.443
2024-05-31-13:20:01, 4732.179, 2135.552, 9.3, 0.075, 0.588, 9.075, -2.611, -1.817, -0.412
2024-05-31-13:20:01, 4732.179, 2135.552, 9.3, 0.063, 0.634, 9.158, -2.763, -2.000, -0.321
2024-05-31-13:20:01, 4732.179, 2135.552, 9.3, 0.032, 0.643, 9.090, -2.840, -1.863, -0.412
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.045, 0.674, 9.233, -2.779, -1.924, -0.321
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.061, 0.622, 9.212, -2.718, -1.954, -0.427
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.031, 0.617, 9.125, -2.779, -1.878, -0.305
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.091, 0.686, 9.164, -2.931, -1.863, -0.290
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.061, 0.595, 9.109, -2.809, -1.924, -0.412
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.043, 0.624, 9.139, -2.885, -1.878, -0.351
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.080, 0.622, 9.193, -2.870, -1.847, -0.336
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.073, 0.619, 9.184, -2.840, -1.969, -0.366
2024-05-31-13:20:01, 4732.179, 2135.552, 2.0, 0.069, 0.642, 9.135, -2.763, -1.893, -0.427
2024-05-31-13:20:01, 4732.178, 2135.551, 9.3, 0.042, 0.618, 9.070, -2.840, -1.893, -0.427
2024-05-31-13:20:01, 4732.178, 2135.551, 9.3, 0.069, 0.636, 9.143, -2.763, -1.985, -0.412
2024-05-31-13:20:02, 4732.178, 2135.551, 9.3, 0.056, 0.651, 9.135, -2.870, -1.939, -0.321
2024-05-31-13:20:02, 4732.178, 2135.551, 9.3, 0.075, 0.632, 9.178, -2.733, -1.878, -0.397
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.075, 0.652, 9.147, -2.794, -1.924, -0.412
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.065, 0.628, 9.130, -2.916, -1.969, -0.458
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.092, 0.618, 9.149, -2.794, -1.847, -0.412
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.063, 0.626, 9.129, -2.779, -1.939, -0.382
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.042, 0.611, 9.167, -2.763, -1.878, -0.412
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.043, 0.913, 9.102, -2.824, -1.924, -0.397
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.056, 0.667, 9.157, -2.901, -1.985, -0.397
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.074, 0.628, 9.196, -2.885, -1.939, -0.351
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.062, 0.625, 9.172, -2.794, -1.924, -0.412
2024-05-31-13:20:02, 4732.178, 2135.551, 2.2, 0.044, 0.611, 9.130, -2.931, -1.863, -0.321
2024-05-31-13:20:02, 4732.179, 2135.551, 9.3, 0.040, 0.615, 9.151, -2.718, -1.878, -0.412
2024-05-31-13:20:03, 4732.179, 2135.551, 9.3, 0.078, 0.614, 9.124, -2.855, -1.985, -0.519
2024-05-31-13:20:03, 4732.179, 2135.551, 9.3, 0.043, 0.619, 9.147, -2.733, -1.954, -0.427
2024-05-31-13:20:03, 4732.179, 2135.551, 9.3, 0.014, 0.646, 9.155, -2.824, -1.908, -0.351
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.085, 0.624, 9.139, -2.672, -1.969, -0.382
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, -0.005, 0.652, 9.161, -2.916, -2.076, -0.351
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.044, 0.625, 9.118, -2.733, -1.878, -0.427
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.059, 0.605, 9.141, -2.748, -1.924, -0.443
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.029, 0.608, 9.164, -2.824, -1.924, -0.366
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.083, 0.624, 9.163, -2.840, -1.893, -0.443
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.067, 0.667, 9.147, -2.794, -1.924, -0.473
2024-05-31-13:20:03, 4732.179, 2135.551, 4.5, 0.086, 0.643, 9.141, -2.763, -1.863, -0.336
